Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV_ROC_AUC_Mean
Logistic Regression,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9953703703703703,0.9953838881696726
Support Vector Machine,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9950396825396826,0.9959810326212226
Random Forest,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9940476190476191,0.9921440464492381
XGBoost,0.9473684210526315,0.9459459459459459,0.9722222222222222,0.958904109589041,0.9930555555555556,0.9942085328508519
